                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230629"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      482                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.7311028637277324E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.7311028637277324E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799459157117766E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799459157117766E+001                 -1.6799459157117766E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280329703990644E+000                  3.9831335943731543E+000                  2.2581540172529442E+000                  1.0978508518529255E+000                  0.0000000000000000E+000                  9.3620308528239651E+000                 -4.5747194786857310E+000                  5.7526919217172825E+000                  6.1270160919287187E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       2                                      487                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416340116057312E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416340116057312E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799459106415135E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799459106415135E+001                 -1.6799459106415135E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280308554375060E+000                  3.9831253655175329E+000                  2.2581541327482508E+000                  1.0978506208623124E+000                  0.0000000000000000E+000                  9.3620308654471849E+000                 -4.5747194690152932E+000                  5.7526919247371824E+000                  6.1270160919022931E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        3 
                                       3                                      487                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416436112533782E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416436112533782E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799459049044607E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799459049044607E+001                 -1.6799459049044607E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280702857377478E+000                  3.9832832438861976E+000                  2.2581542113321000E+000                  1.0978504636946143E+000                  0.0000000000000000E+000                  9.3620308799241840E+000                 -4.5747194578427210E+000                  5.7526919281462163E+000                  6.1270160918726824E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       4                                      487                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416551447323674E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416551447323674E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458978106383E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458978106383E+001                 -1.6799458978106383E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280925456801381E+000                  3.9833723596823973E+000                  2.2581542493454196E+000                  1.0978503876679748E+000                  0.0000000000000000E+000                  9.3620308977010431E+000                 -4.5747194441752095E+000                  5.7526919323665853E+000                  6.1270160918358840E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       5                                      487                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416690049504941E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416690049504941E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458891770978E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458891770978E+001                 -1.6799458891770978E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281047328744767E+000                  3.9834211306128844E+000                  2.2581542604219860E+000                  1.0978503655148426E+000                  0.0000000000000000E+000                  9.3620309192669335E+000                 -4.5747194276237542E+000                  5.7526919375058592E+000                  6.1270160917909933E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       6                                      487                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416856661568656E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3416856661568656E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458787389995E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458787389995E+001                 -1.6799458787389995E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281099787076241E+000                  3.9834420982641467E+000                  2.2581542525813232E+000                  1.0978503811961680E+000                  0.0000000000000000E+000                  9.3620309452963895E+000                 -4.5747194076651754E+000                  5.7526919437211514E+000                  6.1270160917366534E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       7                                      487                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417057013837292E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417057013837292E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458661703177E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458661703177E+001                 -1.6799458661703177E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281110750317898E+000                  3.9834464437457631E+000                  2.2581542326737991E+000                  1.0978504210112154E+000                  0.0000000000000000E+000                  9.3620309766147169E+000                 -4.5747193836614493E+000                  5.7526919512060788E+000                  6.1270160916711891E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       8                                      487                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417298040424183E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417298040424183E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458510688019E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458510688019E+001                 -1.6799458510688019E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281100680809781E+000                  3.9834423616310661E+000                  2.2581542055180739E+000                  1.0978504753226659E+000                  0.0000000000000000E+000                  9.3620310142335708E+000                 -4.5747193548332525E+000                  5.7526919601997939E+000                  6.1270160915925120E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                       9                                      487                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417588145217100E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417588145217100E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458329415916E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458329415916E+001                 -1.6799458329415916E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281081887080684E+000                  3.9834347807925594E+000                  2.2581541738446398E+000                  1.0978505386695347E+000                  0.0000000000000000E+000                  9.3620310593865170E+000                 -4.5747193202327674E+000                  5.7526919709955626E+000                  6.1270160914980687E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      10                                      487                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417937533213989E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3417937533213989E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799458111903622E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799458111903622E+001                 -1.6799458111903622E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281060620678809E+000                  3.9834262041442519E+000                  2.2581541388008621E+000                  1.0978506087570896E+000                  0.0000000000000000E+000                  9.3620311135671681E+000                 -4.5747192787140429E+000                  5.7526919839495578E+000                  6.1270160913847482E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      11                                      487                  3.2150418534399993E-004                 -4.2081875395237516E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3418358626351494E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3418358626351494E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799457850926984E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799457850926984E+001                 -1.6799457850926984E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281039516639342E+000                  3.9834176859975901E+000                  2.2581541005354224E+000                  1.0978506852879690E+000                  0.0000000000000000E+000                  9.3620311785763182E+000                 -4.5747192288964893E+000                  5.7526919994919092E+000                  6.1270160912487837E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      12                                      487                  3.9580502241279986E-004                 -4.1290062934761265E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3418866585941134E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3418866585941134E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799457537800837E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799457537800837E+001                 -1.6799457537800837E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281019409520687E+000                  3.9834095593688499E+000                  2.2581540586447844E+000                  1.0978507690692454E+000                  0.0000000000000000E+000                  9.3620312565779997E+000                 -4.5747191691214084E+000                  5.7526920181397490E+000                  6.1270160910856553E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      13                                      487                  4.8496602689535983E-004                 -4.0498250474285022E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3419479976982761E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3419479976982761E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799457162092708E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799457162092708E+001                 -1.6799457162092708E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6281000404206880E+000                  3.9834018648269844E+000                  2.2581540124366128E+000                  1.0978508614855882E+000                  0.0000000000000000E+000                  9.3620313501708932E+000                 -4.5747190973971881E+000                  5.7526920405142397E+000                  6.1270160908899329E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      14                                      487                  5.9195923227443176E-004                 -3.9706438013808771E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3420221619444461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3420221619444461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799456711282829E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799456711282829E+001                 -1.6799456711282829E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280982393518246E+000                  3.9833945577723968E+000                  2.2581539610470469E+000                  1.0978509642647205E+000                  0.0000000000000000E+000                  9.3620314624733663E+000                 -4.5747190113339160E+000                  5.7526920673607442E+000                  6.1270160906550919E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
                                      15                                      487                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3421119687481175E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998989158251894E-001                  3.3421119687481175E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6799456170345582E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6799456170345582E+001                 -1.6799456170345582E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6280965256323396E+000                  3.9833875877319733E+000                  2.2581539034658040E+000                  1.0978510794272061E+000                  0.0000000000000000E+000                  9.3620315972274817E+000                 -4.5747189080636916E+000                  5.7526920995737170E+000                  6.1270160903733106E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.0769999999999998E+001                  4.0195721910938964E+000                                        0                                        2 
